src,dst,weight
UN/Turtle Bay South,Newark Airport,13
SoHo,Sutton Place/Turtle Bay North,13
Manhattan Valley,Midtown South,13
West Village,Stuy Town/Peter Cooper Village,13
Upper East Side North,Lenox Hill West,13
Sutton Place/Turtle Bay North,Greenwich Village South,13
Manhattan Valley,Upper West Side South,13
Upper East Side South,LaGuardia Airport,13
Lincoln Square East,World Trade Center,13
Sutton Place/Turtle Bay North,Brooklyn Heights,13
Lenox Hill West,Meatpacking/West Village West,13
Battery Park City,Lincoln Square West,13
Upper West Side South,Lenox Hill East,13
Battery Park City,Upper West Side South,13
Greenwich Village South,Newark Airport,13
Lincoln Square West,Battery Park City,13
Alphabet City,Hudson Sq,13
Midtown North,Stuy Town/Peter Cooper Village,13
Lenox Hill East,Sutton Place/Turtle Bay North,13
Midtown East,Garment District,13
Stuy Town/Peter Cooper Village,Bushwick South,13
Financial District South,East Chelsea,13
Financial District North,West Chelsea/Hudson Yards,13
Midtown Center,Times Sq/Theatre District,13
Battery Park,West Village,13
Upper East Side North,Manhattan Valley,13
Upper West Side North,LaGuardia Airport,13
Clinton East,Upper West Side South,13
Penn Station/Madison Sq West,Midtown North,13
Clinton West,Lenox Hill East,12
Lenox Hill East,Penn Station/Madison Sq West,12
Gramercy,Upper East Side North,12
Midtown North,Meatpacking/West Village West,12
Lincoln Square East,Battery Park,12
Upper East Side North,Yorkville East,12
Murray Hill,East Village,12
Central Harlem,Lenox Hill West,12
West Chelsea/Hudson Yards,East Chelsea,12
Washington Heights North,Midtown South,12
Flatiron,Penn Station/Madison Sq West,12
West Village,Astoria,12
Alphabet City,Upper East Side South,12
Financial District South,Battery Park,12
Astoria,Upper East Side South,12
Lenox Hill West,Yorkville East,12
Lincoln Square West,Two Bridges/Seward Park,12
Upper East Side North,Penn Station/Madison Sq West,12
Bedford,Washington Heights South,12
Sutton Place/Turtle Bay North,Upper East Side North,12
Stuy Town/Peter Cooper Village,World Trade Center,12
Financial District South,JFK Airport,12
East Harlem North,Gramercy,12
East Chelsea,Clinton West,12
World Trade Center,Brooklyn Heights,12
Greenwich Village South,Midtown Center,12
Seaport,Upper East Side South,12
Greenwich Village North,East Village,12
Two Bridges/Seward Park,Meatpacking/West Village West,12
Upper East Side South,Penn Station/Madison Sq West,12
West Village,Sutton Place/Turtle Bay North,12
JFK Airport,Battery Park,12
Yorkville East,Union Sq,12
Central Park,East Harlem North,12
Bushwick South,Upper West Side South,12
Battery Park City,Sutton Place/Turtle Bay North,12
Midtown East,Stuy Town/Peter Cooper Village,12
Alphabet City,Battery Park,12
Penn Station/Madison Sq West,Yorkville West,12
World Trade Center,Bedford,12
Washington Heights South,Garment District,12
World Trade Center,Financial District South,12
Two Bridges/Seward Park,East Chelsea,12
Meatpacking/West Village West,East Chelsea,12
Upper East Side South,TriBeCa/Civic Center,12
Yorkville East,Alphabet City,12
Clinton West,Lincoln Square East,12
Midtown East,Flatiron,12
Two Bridges/Seward Park,Lincoln Square West,12
Upper West Side South,Upper West Side South,12
Lincoln Square East,JFK Airport,12
Times Sq/Theatre District,Midtown North,12
Manhattan Valley,East Chelsea,12
Financial District North,Washington Heights North,12
Yorkville West,World Trade Center,12
Clinton East,Midtown South,12
East Village,Clinton East,12
SoHo,Brooklyn Heights,12
Washington Heights South,Midtown East,12
Midtown South,Greenwich Village South,12
Central Park,Manhattan Valley,12
TriBeCa/Civic Center,Financial District South,12
Clinton East,UN/Turtle Bay South,12
Midtown Center,Financial District North,12
Midtown South,UN/Turtle Bay South,12
World Trade Center,Midtown Center,12
Astoria,East Village,12
Bloomingdale,Meatpacking/West Village West,12
Newark Airport,Upper East Side South,12
Washington Heights South,East Village,12
Clinton East,Lincoln Square West,12
Midtown East,Midtown Center,12
Lower East Side,Washington Heights North,12
SoHo,East Harlem North,12
Washington Heights North,Sutton Place/Turtle Bay North,12
LaGuardia Airport,Times Sq/Theatre District,12
Midtown Center,Clinton East,12
Central Harlem,Brooklyn Heights,12
UN/Turtle Bay South,Lincoln Square West,12
Bedford,Newark Airport,12
Murray Hill,Financial District North,12
Washington Heights North,SoHo,12
Bloomingdale,Garment District,12
Greenwich Village North,TriBeCa/Civic Center,12
Battery Park,Manhattan Valley,12
Astoria,Lower East Side,12
East Chelsea,Central Harlem,12
Battery Park,West Chelsea/Hudson Yards,12
Lenox Hill West,Times Sq/Theatre District,12
Greenwich Village South,Clinton East,12
Midtown South,Manhattan Valley,12
East Chelsea,Washington Heights North,12
Greenwich Village North,Greenwich Village North,12
JFK Airport,TriBeCa/Civic Center,12
Sutton Place/Turtle Bay North,Bedford,12
Union Sq,Greenwich Village North,12
Clinton East,JFK Airport,12
Bedford,JFK Airport,12
SoHo,East Village,12
Two Bridges/Seward Park,Lenox Hill West,12
Garment District,Financial District South,12
Lincoln Square West,Central Park,12
Alphabet City,Lenox Hill West,12
Seaport,Battery Park,12
Seaport,Upper East Side North,12
Clinton West,Midtown North,12
Manhattan Valley,Greenwich Village North,12
Upper East Side South,Union Sq,12
Lenox Hill East,Newark Airport,12
World Trade Center,UN/Turtle Bay South,12
Lincoln Square East,Gramercy,12
West Chelsea/Hudson Yards,Astoria,12
Yorkville West,Meatpacking/West Village West,12
Central Harlem,Hudson Sq,12
Greenwich Village South,Manhattan Valley,12
Lenox Hill East,Flatiron,12
Financial District North,Greenwich Village North,12
TriBeCa/Civic Center,East Village,12
Lower East Side,West Chelsea/Hudson Yards,12
Hudson Sq,Penn Station/Madison Sq West,12
SoHo,Clinton West,12
Battery Park City,Stuy Town/Peter Cooper Village,12
Alphabet City,East Village,12
Bedford,Lincoln Square West,12
Yorkville West,LaGuardia Airport,12
Astoria,Greenwich Village South,12
East Harlem North,Washington Heights North,12
TriBeCa/Civic Center,Midtown North,12
Times Sq/Theatre District,Seaport,12
LaGuardia Airport,World Trade Center,12
Financial District South,Sutton Place/Turtle Bay North,12
JFK Airport,Financial District North,12
Upper East Side North,TriBeCa/Civic Center,12
TriBeCa/Civic Center,Manhattan Valley,12
Newark Airport,Upper East Side North,12
Upper West Side South,Two Bridges/Seward Park,12
Battery Park,Meatpacking/West Village West,12
Lincoln Square East,Central Park,12
East Chelsea,Midtown North,12
SoHo,East Chelsea,12
Financial District South,Clinton West,12
West Village,Financial District South,12
Greenwich Village South,Hudson Sq,12
Washington Heights South,Penn Station/Madison Sq West,12
Washington Heights South,Manhattan Valley,12
Battery Park City,Central Park,12
Brooklyn Heights,World Trade Center,12
Times Sq/Theatre District,TriBeCa/Civic Center,12
East Harlem North,West Chelsea/Hudson Yards,12
Astoria,Greenwich Village North,12
East Chelsea,Clinton East,12
Washington Heights South,Greenwich Village South,12
Clinton West,Battery Park City,12
Two Bridges/Seward Park,Midtown East,12
East Chelsea,Midtown Center,12
Upper West Side South,Bloomingdale,12
West Chelsea/Hudson Yards,Garment District,12
Midtown South,Upper West Side North,12
Stuy Town/Peter Cooper Village,Lincoln Square West,12
Central Harlem,UN/Turtle Bay South,12
Clinton West,Midtown Center,12
Midtown South,Bloomingdale,12
Sutton Place/Turtle Bay North,Financial District South,12
SoHo,Midtown East,12
Washington Heights South,Battery Park,12
East Chelsea,Upper East Side North,12
Financial District North,Battery Park City,12
Washington Heights North,Clinton West,12
Astoria,Financial District South,12
Financial District North,Garment District,12
Lincoln Square East,Meatpacking/West Village West,12
Union Sq,Sutton Place/Turtle Bay North,12
Yorkville East,Two Bridges/Seward Park,12
Lincoln Square West,Times Sq/Theatre District,12
Astoria,Gramercy,12
Central Harlem,Upper East Side North,12
Lenox Hill West,Battery Park,12
Seaport,Lincoln Square West,12
East Harlem North,Yorkville West,12
Midtown East,Newark Airport,12
Upper East Side North,Battery Park City,12
Upper West Side North,East Harlem North,12
West Village,Lenox Hill West,12
Lenox Hill East,West Village,12
Yorkville West,Seaport,12
Midtown Center,Stuy Town/Peter Cooper Village,12
Lincoln Square West,Seaport,12
SoHo,Washington Heights South,12
East Village,Upper West Side North,12
Garment District,West Village,12
Stuy Town/Peter Cooper Village,Sutton Place/Turtle Bay North,12
Manhattan Valley,Bushwick South,12
Battery Park City,Clinton West,12
Midtown East,Manhattan Valley,12
Midtown North,Battery Park City,12
Upper East Side North,Gramercy,12
Penn Station/Madison Sq West,Greenwich Village North,12
Greenwich Village South,Midtown East,12
Manhattan Valley,Garment District,12
West Chelsea/Hudson Yards,TriBeCa/Civic Center,12
Lincoln Square West,Lower East Side,12
Upper East Side South,Hudson Sq,12
TriBeCa/Civic Center,Battery Park City,12
Upper East Side South,Meatpacking/West Village West,12
Newark Airport,Lincoln Square West,12
TriBeCa/Civic Center,Midtown Center,12
Clinton West,Stuy Town/Peter Cooper Village,12
Seaport,JFK Airport,12
Two Bridges/Seward Park,Alphabet City,12
Clinton West,Yorkville East,12
Midtown South,Lenox Hill East,12
Washington Heights North,Financial District South,12
Midtown East,Clinton West,12
West Village,Midtown North,12
Central Park,Hudson Sq,12
Lincoln Square West,Midtown Center,12
Hudson Sq,Midtown Center,12
Clinton East,Upper East Side South,12
Midtown East,Astoria,12
Washington Heights South,Midtown South,12
JFK Airport,East Village,12
Financial District North,Clinton East,12
Midtown North,Yorkville West,12
Lower East Side,Times Sq/Theatre District,12
Meatpacking/West Village West,Midtown North,12
West Chelsea/Hudson Yards,Manhattan Valley,12
Hudson Sq,Battery Park City,12
TriBeCa/Civic Center,Penn Station/Madison Sq West,12
Penn Station/Madison Sq West,East Village,12
East Village,Upper East Side South,12
Battery Park,Financial District North,12
LaGuardia Airport,Greenwich Village North,12
Bedford,TriBeCa/Civic Center,12
Stuy Town/Peter Cooper Village,East Village,12
LaGuardia Airport,East Village,12
East Harlem North,Astoria,12
Lower East Side,Lincoln Square East,12
JFK Airport,Greenwich Village South,12
World Trade Center,Penn Station/Madison Sq West,12
Astoria,Stuy Town/Peter Cooper Village,12
Lenox Hill East,Bushwick South,12
Alphabet City,Union Sq,12
LaGuardia Airport,Battery Park City,12
Astoria,Battery Park City,12
World Trade Center,Astoria,12
LaGuardia Airport,Lower East Side,12
Astoria,Manhattan Valley,12
Washington Heights South,Newark Airport,12
East Chelsea,Lincoln Square East,12
Union Sq,Lincoln Square East,12
Stuy Town/Peter Cooper Village,Clinton West,12
Washington Heights South,Seaport,12
JFK Airport,Union Sq,12
Meatpacking/West Village West,Bushwick South,12
Midtown North,Astoria,12
SoHo,Upper West Side South,12
Upper West Side South,Bedford,12
Lenox Hill East,Lenox Hill East,12
Financial District North,Flatiron,12
Alphabet City,Midtown East,12
East Harlem North,SoHo,12
Garment District,Lincoln Square West,12
Times Sq/Theatre District,Clinton West,12
Upper East Side North,Lower East Side,12
Bloomingdale,TriBeCa/Civic Center,12
Seaport,Upper West Side South,12
Upper East Side North,Lincoln Square West,12
Upper West Side South,Gramercy,12
Battery Park,Yorkville East,12
Greenwich Village South,JFK Airport,12
West Chelsea/Hudson Yards,Sutton Place/Turtle Bay North,12
Garment District,Central Park,12
Two Bridges/Seward Park,Murray Hill,12
TriBeCa/Civic Center,Washington Heights South,12
Lincoln Square East,Washington Heights South,12
Astoria,West Village,12
East Harlem North,Greenwich Village North,12
Brooklyn Heights,Washington Heights South,12
Upper West Side South,East Harlem North,12
Battery Park,Times Sq/Theatre District,12
Lincoln Square West,Alphabet City,12
SoHo,Yorkville East,12
Midtown North,West Village,12
Bushwick South,Penn Station/Madison Sq West,12
Murray Hill,SoHo,12
Bloomingdale,LaGuardia Airport,12
TriBeCa/Civic Center,TriBeCa/Civic Center,12
Washington Heights North,Meatpacking/West Village West,12
Central Harlem,West Village,12
Astoria,Meatpacking/West Village West,12
Battery Park,Greenwich Village North,12
Financial District South,Bedford,12
Times Sq/Theatre District,JFK Airport,12
Meatpacking/West Village West,Yorkville East,12
Battery Park,Upper West Side South,12
Midtown North,East Chelsea,12
Midtown South,Sutton Place/Turtle Bay North,12
Bedford,Bushwick South,12
Garment District,Upper East Side South,12
Bloomingdale,Murray Hill,12
SoHo,Times Sq/Theatre District,12
Bedford,Lincoln Square East,12
East Village,Greenwich Village South,12
World Trade Center,Union Sq,12
Seaport,Bushwick South,12
Meatpacking/West Village West,Flatiron,12
Upper East Side South,Financial District South,12
Midtown East,Sutton Place/Turtle Bay North,12
Midtown North,Flatiron,11
Union Sq,Financial District North,11
Upper East Side South,Upper West Side North,11
Washington Heights North,Battery Park City,11
Manhattan Valley,Greenwich Village South,11
Stuy Town/Peter Cooper Village,Murray Hill,11
Two Bridges/Seward Park,Midtown South,11
Penn Station/Madison Sq West,Midtown East,11
Newark Airport,Greenwich Village North,11
Penn Station/Madison Sq West,LaGuardia Airport,11
Lower East Side,Midtown East,11
Brooklyn Heights,East Village,11
Stuy Town/Peter Cooper Village,Astoria,11
Clinton West,Bedford,11
Lenox Hill West,Clinton West,11
Alphabet City,Central Park,11
Financial District South,Flatiron,11
Manhattan Valley,Alphabet City,11
Meatpacking/West Village West,East Village,11
Lenox Hill West,Manhattan Valley,11
UN/Turtle Bay South,Astoria,11
Gramercy,Upper East Side South,11
SoHo,Two Bridges/Seward Park,11
Upper West Side North,West Chelsea/Hudson Yards,11
Yorkville West,Bedford,11
Midtown East,Upper West Side South,11
Midtown East,SoHo,11
West Village,Gramercy,11
Washington Heights South,UN/Turtle Bay South,11
Financial District North,TriBeCa/Civic Center,11
LaGuardia Airport,Midtown South,11
Midtown East,Penn Station/Madison Sq West,11
Flatiron,Times Sq/Theatre District,11
Financial District North,Seaport,11
Sutton Place/Turtle Bay North,TriBeCa/Civic Center,11
Brooklyn Heights,Murray Hill,11
Yorkville West,Two Bridges/Seward Park,11
East Village,Lower East Side,11
Lower East Side,Greenwich Village South,11
Greenwich Village South,Seaport,11
TriBeCa/Civic Center,Central Harlem,11
Midtown Center,SoHo,11
Central Park,East Chelsea,11
Upper West Side North,Battery Park City,11
Meatpacking/West Village West,Murray Hill,11
TriBeCa/Civic Center,Lower East Side,11
Manhattan Valley,Clinton West,11
Union Sq,World Trade Center,11
Upper East Side North,Clinton West,11
Hudson Sq,Greenwich Village North,11
Murray Hill,East Harlem North,11
Greenwich Village North,Penn Station/Madison Sq West,11
UN/Turtle Bay South,Upper West Side South,11
Clinton East,Midtown North,11
Financial District South,Penn Station/Madison Sq West,11
Midtown North,Lincoln Square East,11
Alphabet City,Yorkville West,11
Sutton Place/Turtle Bay North,Bloomingdale,11
Upper East Side South,Garment District,11
East Harlem North,Central Harlem,11
Lincoln Square West,Lenox Hill West,11
Battery Park City,Garment District,11
Meatpacking/West Village West,Midtown South,11
Manhattan Valley,Flatiron,11
Washington Heights North,Manhattan Valley,11
Meatpacking/West Village West,Central Harlem,11
Midtown Center,Greenwich Village North,11
Yorkville West,Sutton Place/Turtle Bay North,11
Clinton East,Hudson Sq,11
Newark Airport,Yorkville East,11
Bedford,Upper West Side South,11
Hudson Sq,JFK Airport,11
Bushwick South,East Chelsea,11
East Harlem North,Financial District North,11
Clinton East,Alphabet City,11
UN/Turtle Bay South,Clinton East,11
UN/Turtle Bay South,West Village,11
Bushwick South,Midtown East,11
Financial District North,Central Harlem,11
Alphabet City,Bushwick South,11
West Village,Washington Heights North,11
Lower East Side,SoHo,11
Upper East Side North,Greenwich Village North,11
Greenwich Village North,Lincoln Square West,11
Upper West Side South,Central Park,11
Greenwich Village North,Greenwich Village South,11
Lincoln Square East,Lower East Side,11
Central Park,Upper West Side South,11
Washington Heights North,East Chelsea,11
Greenwich Village North,Sutton Place/Turtle Bay North,11
Yorkville West,Lenox Hill West,11
East Harlem North,Manhattan Valley,11
Astoria,Clinton East,11
Midtown Center,Manhattan Valley,11
Yorkville West,Central Harlem,11
Yorkville West,Flatiron,11
Meatpacking/West Village West,Financial District North,11
Upper West Side South,UN/Turtle Bay South,11
Manhattan Valley,Bedford,11
Times Sq/Theatre District,West Village,11
Yorkville West,Greenwich Village North,11
JFK Airport,West Village,11
Upper West Side South,Yorkville East,11
Yorkville East,Midtown East,11
Union Sq,Brooklyn Heights,11
Upper East Side North,Seaport,11
West Village,Central Park,11
Lenox Hill West,Washington Heights South,11
Manhattan Valley,Midtown North,11
Meatpacking/West Village West,Washington Heights South,11
Lincoln Square East,Upper West Side South,11
Battery Park,Astoria,11
TriBeCa/Civic Center,Sutton Place/Turtle Bay North,11
Upper East Side North,Lenox Hill East,11
West Village,Lincoln Square West,11
West Village,Lincoln Square East,11
Central Harlem,West Chelsea/Hudson Yards,11
Upper East Side South,Bedford,11
Newark Airport,Hudson Sq,11
JFK Airport,Lincoln Square East,11
Times Sq/Theatre District,Murray Hill,11
UN/Turtle Bay South,Penn Station/Madison Sq West,11
West Village,Battery Park,11
TriBeCa/Civic Center,Stuy Town/Peter Cooper Village,11
Lenox Hill West,Washington Heights North,11
Lincoln Square West,East Chelsea,11
Upper West Side North,East Chelsea,11
Times Sq/Theatre District,Upper West Side South,11
Greenwich Village South,Financial District North,11
Yorkville West,Yorkville East,11
Lenox Hill East,East Chelsea,11
Midtown South,Penn Station/Madison Sq West,11
Stuy Town/Peter Cooper Village,Yorkville West,11
Yorkville East,Upper East Side North,11
Newark Airport,Penn Station/Madison Sq West,11
Yorkville West,SoHo,11
West Village,Times Sq/Theatre District,11
UN/Turtle Bay South,Midtown South,11
East Chelsea,Upper West Side South,11
Penn Station/Madison Sq West,Sutton Place/Turtle Bay North,11
Financial District South,Midtown North,11
Two Bridges/Seward Park,Bloomingdale,11
Yorkville East,Battery Park,11
Washington Heights South,Clinton West,11
Times Sq/Theatre District,Battery Park,11
Greenwich Village South,Sutton Place/Turtle Bay North,11
Central Park,Lenox Hill West,11
Times Sq/Theatre District,Lincoln Square East,11
Upper East Side South,Battery Park City,11
Sutton Place/Turtle Bay North,Lincoln Square West,11
Battery Park,Upper East Side North,11
Greenwich Village South,Lenox Hill East,11
Alphabet City,Central Harlem,11
Upper West Side North,Midtown East,11
Upper East Side North,Yorkville West,11
East Harlem North,Lincoln Square West,11
Yorkville West,Lincoln Square East,11
Midtown Center,Flatiron,11
Upper West Side South,JFK Airport,11
Financial District North,SoHo,11
Murray Hill,Lincoln Square East,11
Clinton West,Bloomingdale,11
Lincoln Square West,Greenwich Village North,11
Newark Airport,Midtown South,11
Sutton Place/Turtle Bay North,Union Sq,11
Seaport,Stuy Town/Peter Cooper Village,11
Financial District North,Bushwick South,11
Gramercy,JFK Airport,11
Garment District,SoHo,11
Central Park,Financial District North,11
Midtown South,Midtown East,11
West Chelsea/Hudson Yards,Lincoln Square East,11
Yorkville East,Lenox Hill East,11
Lenox Hill East,Bloomingdale,11
Central Park,Stuy Town/Peter Cooper Village,11
Clinton West,Clinton East,11
LaGuardia Airport,Yorkville East,11
LaGuardia Airport,Clinton East,11
Sutton Place/Turtle Bay North,Battery Park,11
Times Sq/Theatre District,Stuy Town/Peter Cooper Village,11
Two Bridges/Seward Park,Battery Park,11
Union Sq,Midtown North,11
West Village,Bedford,11
East Harlem North,UN/Turtle Bay South,11
Garment District,Upper West Side South,11
Upper West Side South,Greenwich Village South,11
Brooklyn Heights,Stuy Town/Peter Cooper Village,11
Central Park,SoHo,11
Midtown North,Two Bridges/Seward Park,11
Central Park,Upper West Side North,11
JFK Airport,SoHo,11
Times Sq/Theatre District,Yorkville East,11
Midtown East,Upper East Side South,11
SoHo,Bedford,11
Midtown South,Brooklyn Heights,11
Bloomingdale,Midtown East,11
Seaport,Midtown Center,11
Seaport,Lincoln Square East,11
Financial District South,Greenwich Village South,11
Lenox Hill West,Midtown East,11
Battery Park,Lincoln Square East,11
Midtown Center,Upper East Side South,11
Newark Airport,Manhattan Valley,11
Alphabet City,Lincoln Square East,11
Upper East Side South,Lower East Side,11
Midtown South,West Chelsea/Hudson Yards,11
Lenox Hill East,Upper West Side South,11
Clinton West,Astoria,11
Battery Park,Stuy Town/Peter Cooper Village,11
World Trade Center,Washington Heights South,11
Seaport,Central Harlem,11
Garment District,TriBeCa/Civic Center,11
LaGuardia Airport,Yorkville West,11
West Village,Meatpacking/West Village West,11
Lincoln Square East,Lincoln Square East,11
Bedford,Midtown North,11
Brooklyn Heights,Lincoln Square West,11
Flatiron,Midtown North,11
Bedford,Lenox Hill East,11
Midtown Center,West Chelsea/Hudson Yards,11
Battery Park,Lenox Hill East,11
World Trade Center,Midtown South,11
Upper West Side North,World Trade Center,11
Hudson Sq,Washington Heights North,11
Washington Heights South,Meatpacking/West Village West,11
Garment District,Seaport,11
Murray Hill,Two Bridges/Seward Park,11
Times Sq/Theatre District,Garment District,11
Bedford,Central Harlem,11
Alphabet City,Newark Airport,11
Financial District South,Garment District,11
Clinton East,Times Sq/Theatre District,11
Battery Park City,Midtown Center,11
Central Park,Washington Heights South,11
Bedford,Financial District North,11
Financial District North,Financial District North,11
Bushwick South,Gramercy,11
Washington Heights North,Times Sq/Theatre District,11
Lenox Hill West,Alphabet City,11
Financial District South,Yorkville East,11
LaGuardia Airport,Stuy Town/Peter Cooper Village,11
Clinton East,Clinton East,11
Financial District North,East Harlem North,11
Stuy Town/Peter Cooper Village,Upper East Side North,11
Garment District,Midtown North,11
JFK Airport,Hudson Sq,11
Manhattan Valley,Lincoln Square East,11
Washington Heights North,West Village,11
Sutton Place/Turtle Bay North,Lower East Side,11
Stuy Town/Peter Cooper Village,Clinton East,11
Midtown Center,East Village,11
Garment District,Meatpacking/West Village West,11
Lenox Hill East,Midtown North,11
Brooklyn Heights,Times Sq/Theatre District,11
SoHo,Greenwich Village North,11
Greenwich Village North,Bedford,11
Lenox Hill East,Financial District South,11
Bedford,East Chelsea,11
Times Sq/Theatre District,Lenox Hill West,11
Murray Hill,Midtown East,11
Clinton West,Greenwich Village South,11
Bloomingdale,Financial District South,11
Bedford,Midtown East,11
Flatiron,Central Harlem,11
Sutton Place/Turtle Bay North,Clinton East,11
Two Bridges/Seward Park,TriBeCa/Civic Center,11
Murray Hill,Garment District,11
Upper West Side South,Brooklyn Heights,11
Midtown North,Upper East Side North,11
JFK Airport,JFK Airport,11
Bloomingdale,Financial District North,11
Midtown North,Manhattan Valley,11
Washington Heights South,Financial District North,11
Midtown South,Lower East Side,11
Upper West Side North,Union Sq,11
West Chelsea/Hudson Yards,Stuy Town/Peter Cooper Village,11
East Chelsea,Flatiron,11
Murray Hill,Battery Park City,11
LaGuardia Airport,Bushwick South,11
JFK Airport,Astoria,11
Upper East Side South,Seaport,11
Penn Station/Madison Sq West,Clinton West,11
Battery Park,East Harlem North,11
LaGuardia Airport,Midtown Center,11
Midtown Center,World Trade Center,11
Bedford,Yorkville East,11
Murray Hill,Battery Park,11
Midtown East,Midtown North,11
JFK Airport,Battery Park City,11
Gramercy,Upper West Side North,11
Greenwich Village South,Brooklyn Heights,11
JFK Airport,Washington Heights South,11
East Harlem North,Union Sq,10
East Harlem North,Hudson Sq,10
West Chelsea/Hudson Yards,Lenox Hill West,10
Washington Heights North,Washington Heights North,10
Financial District South,Midtown South,10
Bloomingdale,Central Park,10
Central Park,Upper East Side South,10
Midtown North,Brooklyn Heights,10
Central Harlem,Upper West Side South,10
Battery Park,Gramercy,10
Times Sq/Theatre District,Flatiron,10
Union Sq,West Village,10
Hudson Sq,Bushwick South,10
Union Sq,Upper West Side North,10
Greenwich Village North,SoHo,10
Upper East Side North,Bushwick South,10
Lenox Hill East,Times Sq/Theatre District,10
Garment District,Newark Airport,10
Bedford,Bedford,10
Clinton East,Greenwich Village North,10
Meatpacking/West Village West,SoHo,10
Lincoln Square East,Midtown East,10
Union Sq,Midtown South,10
Garment District,Manhattan Valley,10
Lenox Hill East,Central Harlem,10
SoHo,Midtown Center,10
Clinton East,Lower East Side,10
West Village,Clinton East,10
Bedford,Lower East Side,10
LaGuardia Airport,West Village,10
Manhattan Valley,Stuy Town/Peter Cooper Village,10
Greenwich Village North,Battery Park,10
Washington Heights North,Gramercy,10
Central Harlem,Washington Heights North,10
Yorkville East,Stuy Town/Peter Cooper Village,10
Stuy Town/Peter Cooper Village,Bedford,10
Clinton East,Upper East Side North,10
Upper West Side South,Battery Park,10
Upper East Side South,East Harlem North,10
Flatiron,East Village,10
Central Park,Clinton West,10
West Chelsea/Hudson Yards,Times Sq/Theatre District,10
Yorkville West,Upper East Side North,10
Hudson Sq,Midtown South,10
Lincoln Square West,Clinton West,10
Washington Heights North,UN/Turtle Bay South,10
Astoria,Alphabet City,10
Upper West Side North,Lincoln Square East,10
Central Harlem,Greenwich Village North,10
Lincoln Square East,West Chelsea/Hudson Yards,10
Bedford,Greenwich Village South,10
Sutton Place/Turtle Bay North,Upper West Side North,10
Clinton West,Central Harlem,10
Financial District North,Lower East Side,10
Upper East Side South,Clinton West,10
Midtown South,Financial District South,10
Yorkville West,Lenox Hill East,10
Murray Hill,World Trade Center,10
Lenox Hill West,East Harlem North,10
Times Sq/Theatre District,Financial District South,10
Times Sq/Theatre District,World Trade Center,10
Lincoln Square West,Lincoln Square East,10
Brooklyn Heights,Union Sq,10
Midtown East,JFK Airport,10
Flatiron,Lenox Hill East,10
Central Park,Clinton East,10
Midtown South,Two Bridges/Seward Park,10
Midtown Center,Clinton West,10
Alphabet City,Midtown South,10
Upper East Side North,Greenwich Village South,10
Upper East Side North,East Chelsea,10
Greenwich Village South,Penn Station/Madison Sq West,10
Lincoln Square West,Yorkville West,10
Bloomingdale,Union Sq,10
JFK Airport,Upper East Side North,10
Two Bridges/Seward Park,Upper East Side North,10
World Trade Center,Hudson Sq,10
West Chelsea/Hudson Yards,Yorkville West,10
Alphabet City,Lenox Hill East,10
Central Park,Lower East Side,10
Clinton West,Newark Airport,10
World Trade Center,Yorkville East,10
Battery Park,Newark Airport,10
Times Sq/Theatre District,Gramercy,10
Greenwich Village North,Central Harlem,10
Lenox Hill East,Battery Park City,10
Brooklyn Heights,Newark Airport,10
Bedford,Penn Station/Madison Sq West,10
Washington Heights North,Bloomingdale,10
East Harlem North,Clinton West,10
Financial District North,Upper East Side North,10
East Harlem North,Upper East Side South,10
Clinton West,Washington Heights South,10
Financial District South,LaGuardia Airport,10
Lenox Hill West,Midtown North,10
Greenwich Village North,Union Sq,10
Lenox Hill East,World Trade Center,10
Union Sq,Meatpacking/West Village West,10
East Chelsea,Washington Heights South,10
Midtown South,East Harlem North,10
Upper West Side South,Penn Station/Madison Sq West,10
Central Harlem,Lower East Side,10
Central Park,Alphabet City,10
Midtown Center,Lincoln Square East,10
Clinton West,Upper East Side South,10
Clinton East,Union Sq,10
Greenwich Village North,Financial District North,10
Midtown Center,Central Park,10
Murray Hill,Newark Airport,10
SoHo,West Chelsea/Hudson Yards,10
Midtown East,Washington Heights South,10
East Chelsea,West Chelsea/Hudson Yards,10
Lenox Hill East,Upper East Side South,10
Lenox Hill East,Clinton West,10
Astoria,Lenox Hill East,10
Times Sq/Theatre District,Upper West Side North,10
JFK Airport,Seaport,10
Lincoln Square East,Greenwich Village North,10
Central Park,Yorkville East,10
Clinton East,Stuy Town/Peter Cooper Village,10
Lincoln Square East,Murray Hill,10
Newark Airport,Clinton West,10
West Village,Upper East Side North,10
Upper West Side North,TriBeCa/Civic Center,10
LaGuardia Airport,Battery Park,10
Central Park,Bushwick South,10
Alphabet City,Upper West Side South,10
UN/Turtle Bay South,Battery Park,10
Washington Heights North,Bushwick South,10
East Harlem North,Yorkville East,10
UN/Turtle Bay South,Lincoln Square East,10
Newark Airport,World Trade Center,10
Union Sq,Greenwich Village South,10
Gramercy,Bedford,10
World Trade Center,Lincoln Square East,10
East Harlem North,Greenwich Village South,10
Central Harlem,Manhattan Valley,10
Lincoln Square West,TriBeCa/Civic Center,10
Lenox Hill East,West Chelsea/Hudson Yards,10
Stuy Town/Peter Cooper Village,West Chelsea/Hudson Yards,10
Flatiron,Washington Heights North,10
Battery Park,Seaport,10
Lincoln Square West,Washington Heights North,10
Manhattan Valley,Astoria,10
East Chelsea,West Village,10
Lenox Hill West,Lower East Side,10
